zipcode,GEOID20,weather_name,cwa,overlap_cells,area_m2_approx
16153,16153,Mercer,PBZ,130,95852587.68727429
16153,16153,Venango,PBZ,22,16221207.147077188
16218,16218,Armstrong,PBZ,95,70046121.77146968
16254,16254,Clarion,PBZ,164,120921726.00548449
16316,16316,Crawford,CLE,159,117235088.01751241
16416,16416,Warren,CTP,13,9585258.76872743
16508,16508,Northern Erie,CLE,8,5898620.780755341
16623,16623,Huntingdon,CTP,41,30230431.501371123
16639,16639,Cambria,CTP,142,104700518.8584073
16639,16639,Clearfield,CTP,20,14746551.951888353
16678,16678,Bedford,CTP,96,70783449.3690641
16678,16678,Huntingdon,CTP,77,56774225.01477016
16733,16733,McKean,CTP,37,27281121.110993452
16832,16832,Southern Centre,CTP,75,55299569.81958132
16845,16845,Clearfield,CTP,123,90691294.50411338
16845,16845,Northern Centre,CTP,223,164424054.26355514
16845,16845,Northern Clinton,CTP,2,1474655.1951888353
16858,16858,Clearfield,CTP,187,137880260.7501561
16927,16927,Potter,CTP,51,37603707.4773153
16942,16942,Tioga,CTP,67,49400949.03882598
16948,16948,Potter,CTP,340,250691383.182102
17036,17036,Dauphin,CTP,99,72995432.16184735
18350,18350,Monroe,PHI,20,14746551.951888353
18435,18435,Pike,BGM,43,31705086.69655996
18466,18466,Monroe,PHI,121,89216639.30892453
18466,18466,Southern Wayne,BGM,3,2211982.792783253
18519,18519,Lackawanna,BGM,9,6635948.378349759
18623,18623,Bradford,BGM,91,67096811.381092004
18623,18623,Susquehanna,BGM,35,25806465.915804617
18623,18623,Wyoming,BGM,75,55299569.81958132
18810,18810,Bradford,BGM,163,120184398.40789008
18851,18851,Bradford,BGM,94,69308794.17387526
18923,18923,Upper Bucks,PHI,6,4423965.585566506
19044,19044,Lower Bucks,PHI,1,737327.5975944176
19044,19044,Eastern Montgomery,PHI,31,22857155.525426947
19083,19083,Delaware,PHI,19,14009224.354293935
19087,19087,Delaware,PHI,18,13271896.756699517
19087,19087,Eastern Montgomery,PHI,10,7373275.975944176
19087,19087,Eastern Chester,PHI,26,19170517.53745486
19153,19153,Philadelphia,PHI,30,22119827.92783253
19153,19153,Delaware,PHI,13,9585258.76872743
19344,19344,Lancaster,CTP,3,2211982.792783253
19344,19344,Western Chester,PHI,112,82580690.93057477
19446,19446,Western Montgomery,PHI,20,14746551.951888353
19446,19446,Eastern Montgomery,PHI,55,40553017.86769297
19539,19539,Berks,PHI,72,53087587.02679807
19539,19539,Lehigh,PHI,5,3686637.987972088
19541,19541,Berks,PHI,73,53824914.62439249
19607,19607,Berks,PHI,40,29493103.903776705
19610,19610,Berks,PHI,26,19170517.53745486
15682,15682,Armstrong,PBZ,12,8847931.171133012
15018,15018,Allegheny,PBZ,3,2211982.792783253
15019,15019,Allegheny,PBZ,1,737327.5975944176
15019,15019,Washington,PBZ,81,59723535.40514783
15030,15030,Allegheny,PBZ,6,4423965.585566506
15037,15037,Allegheny,PBZ,89,65622156.18590317
15043,15043,Beaver,PBZ,115,84792673.72335804
17038,17038,Lebanon,CTP,238,175483968.2274714
17045,17045,Juniata,CTP,34,25069138.3182102
17045,17045,Perry,CTP,90,66359483.78349759
17045,17045,Snyder,CTP,11,8110603.573538594
17046,17046,Lebanon,CTP,136,100276553.2728408
17048,17048,Dauphin,CTP,120,88479311.71133012
17066,17066,Huntingdon,CTP,85,62672845.7955255
17066,17066,Mifflin,CTP,17,12534569.1591051
17111,17111,Dauphin,CTP,63,46451638.64844831
17239,17239,Huntingdon,CTP,39,28755776.306182288
17302,17302,York,CTP,141,103963191.26081288
17364,17364,York,CTP,65,47926293.843637146
17562,17562,Lancaster,CTP,56,41290345.46528739
17772,17772,Montour,CTP,56,41290345.46528739
17772,17772,Northumberland,CTP,23,16958534.744671606
17813,17813,Snyder,CTP,129,95115260.08967987
17867,17867,Northumberland,CTP,11,8110603.573538594
17960,17960,Schuylkill,CTP,184,135668277.95737284
18055,18055,Upper Bucks,PHI,6,4423965.585566506
18055,18055,Northampton,PHI,66,48663621.44123156
18071,18071,Monroe,PHI,4,2949310.3903776705
18071,18071,Carbon,PHI,103,75944742.55222502
18092,18092,Berks,PHI,5,3686637.987972088
18092,18092,Lehigh,PHI,49,36129052.282126464
18224,18224,Luzerne,BGM,52,38341035.07490972
18248,18248,Schuylkill,CTP,16,11797241.561510682
18346,18346,Monroe,PHI,64,47188966.24604273
18354,18354,Monroe,PHI,12,8847931.171133012
18445,18445,Pike,BGM,38,28018448.70858787
18445,18445,Southern Wayne,BGM,78,57511552.612364575
18469,18469,Northern Wayne,BGM,36,26543793.513399035
18661,18661,Luzerne,BGM,283,208663710.1192202
18661,18661,Carbon,PHI,137,101013880.87043521
15227,15227,Allegheny,PBZ,20,14746551.951888353
15301,15301,Washington,PBZ,433,319262849.75838286
15317,15317,Washington,PBZ,156,115023105.22472915
15367,15367,Washington,PBZ,39,28755776.306182288
15436,15436,Fayette,PBZ,15,11059913.963916264
15436,15436,Fayette Ridges,PBZ,9,6635948.378349759
15447,15447,Fayette,PBZ,11,8110603.573538594
15451,15451,Fayette,PBZ,34,25069138.3182102
15486,15486,Fayette,PBZ,78,57511552.612364575
15522,15522,Bedford,CTP,664,489585524.8026933
15547,15547,Somerset,CTP,3,2211982.792783253
15650,15650,Westmoreland,PBZ,177,130506984.77421191
15650,15650,Westmoreland Ridges,PBZ,83,61198190.60033666
15744,15744,Jefferson,PBZ,4,2949310.3903776705
15845,15845,Elk,CTP,137,101013880.87043521
15904,15904,Cambria,CTP,105,77419397.74741384
15104,15104,Allegheny,PBZ,10,7373275.975944176
15120,15120,Allegheny,PBZ,19,14009224.354293935
15146,15146,Allegheny,PBZ,68,50138276.6364204
15212,15212,Allegheny,PBZ,21,15483879.54948277
15310,15310,Greene,PBZ,67,49400949.03882598
15327,15327,Greene,PBZ,74,54562242.221986905
15360,15360,Washington,PBZ,98,72258104.56425293
15431,15431,Fayette,PBZ,59,43502328.25807064
15431,15431,Fayette Ridges,PBZ,151,111336467.23675707
15470,15470,Fayette Ridges,PBZ,106,78156725.34500827
15489,15489,Fayette,PBZ,4,2949310.3903776705
15616,15616,Westmoreland,PBZ,5,3686637.987972088
15628,15628,Westmoreland Ridges,PBZ,5,3686637.987972088
15658,15658,Westmoreland Ridges,PBZ,326,240368796.81578016
15724,15724,Cambria,CTP,17,12534569.1591051
15724,15724,Clearfield,CTP,43,31705086.69655996
15724,15724,Indiana,PBZ,62,45714311.05085389
15724,15724,Higher Elevations of Indiana,PBZ,23,16958534.744671606
15762,15762,Cambria,CTP,48,35391724.68453205
15779,15779,Westmoreland,PBZ,10,7373275.975944176
15779,15779,Westmoreland Ridges,PBZ,16,11797241.561510682
15823,15823,Elk,CTP,105,77419397.74741384
15823,15823,Jefferson,PBZ,19,14009224.354293935
15828,15828,Forest,PBZ,50,36866379.87972088
15828,15828,Jefferson,PBZ,38,28018448.70858787
16001,16001,Butler,PBZ,263,193917158.16733184
16051,16051,Butler,PBZ,92,67834138.97868642
16051,16051,Lawrence,PBZ,56,41290345.46528739
16054,16054,Clarion,PBZ,6,4423965.585566506
16116,16116,Lawrence,PBZ,88,64884828.58830875
16127,16127,Butler,PBZ,1,737327.5975944176
16127,16127,Lawrence,PBZ,5,3686637.987972088
16127,16127,Mercer,PBZ,230,169585347.44671607
16127,16127,Venango,PBZ,19,14009224.354293935
16146,16146,Mercer,PBZ,15,11059913.963916264
16224,16224,Armstrong,PBZ,4,2949310.3903776705
16224,16224,Clarion,PBZ,64,47188966.24604273
18822,18822,Susquehanna,BGM,149,109861812.04156822
18825,18825,Susquehanna,BGM,14,10322586.366321847
18853,18853,Bradford,BGM,375,276497849.0979066
19010,19010,Delaware,PHI,16,11797241.561510682
19010,19010,Eastern Montgomery,PHI,15,11059913.963916264
19041,19041,Delaware,PHI,8,5898620.780755341
19041,19041,Eastern Montgomery,PHI,3,2211982.792783253
19060,19060,Delaware,PHI,31,22857155.525426947
19081,19081,Delaware,PHI,7,5161293.183160923
19131,19131,Philadelphia,PHI,17,12534569.1591051
19142,19142,Philadelphia,PHI,5,3686637.987972088
19330,19330,Western Chester,PHI,105,77419397.74741384
19330,19330,Eastern Chester,PHI,8,5898620.780755341
19428,19428,Eastern Montgomery,PHI,27,19907845.135049276
19475,19475,Western Montgomery,PHI,1,737327.5975944176
19475,19475,Western Chester,PHI,63,46451638.64844831
19601,19601,Berks,PHI,15,11059913.963916264
19605,19605,Berks,PHI,64,47188966.24604273
15003,15003,Allegheny,PBZ,2,1474655.1951888353
15003,15003,Beaver,PBZ,19,14009224.354293935
15024,15024,Allegheny,PBZ,62,45714311.05085389
15033,15033,Washington,PBZ,8,5898620.780755341
15067,15067,Washington,PBZ,5,3686637.987972088
15089,15089,Allegheny,PBZ,1,737327.5975944176
15089,15089,Westmoreland,PBZ,65,47926293.843637146
15135,15135,Allegheny,PBZ,21,15483879.54948277
15147,15147,Allegheny,PBZ,36,26543793.513399035
15218,15218,Allegheny,PBZ,7,5161293.183160923
15920,15920,Higher Elevations of Indiana,PBZ,30,22119827.92783253
15960,15960,Cambria,CTP,3,2211982.792783253
16002,16002,Butler,PBZ,256,188755864.9841709
16059,16059,Allegheny,PBZ,2,1474655.1951888353
16059,16059,Butler,PBZ,88,64884828.58830875
16101,16101,Lawrence,PBZ,239,176221295.82506582
16130,16130,Mercer,PBZ,106,78156725.34500827
16214,16214,Clarion,PBZ,168,123871036.39586216
16321,16321,Forest,PBZ,2,1474655.1951888353
16335,16335,Crawford,CLE,394,290507073.45220053
16402,16402,Warren,CTP,90,66359483.78349759
16421,16421,Southern Erie,CLE,5,3686637.987972088
16421,16421,Northern Erie,CLE,31,22857155.525426947
16636,16636,Blair,CTP,5,3686637.987972088
16636,16636,Cambria,CTP,93,68571466.57628083
16668,16668,Cambria,CTP,200,147465519.51888353
16750,16750,McKean,CTP,72,53087587.02679807
16879,16879,Clearfield,CTP,6,4423965.585566506
17017,17017,Dauphin,CTP,38,28018448.70858787
17017,17017,Perry,CTP,2,1474655.1951888353
17017,17017,Snyder,CTP,1,737327.5975944176
17017,17017,Northumberland,CTP,80,58986207.80755341
17033,17033,Dauphin,CTP,89,65622156.18590317
17033,17033,Lebanon,CTP,11,8110603.573538594
17064,17064,Lebanon,CTP,7,5161293.183160923
17071,17071,Perry,CTP,35,25806465.915804617
17084,17084,Mifflin,CTP,115,84792673.72335804
17271,17271,Franklin,CTP,41,30230431.501371123
17350,17350,Adams,CTP,164,120921726.00548449
17517,17517,Lancaster,CTP,127,93640604.89449105
17701,17701,Sullivan,CTP,34,25069138.3182102
17701,17701,Southern Lycoming,CTP,186,137142933.15256166
17701,17701,Northern Lycoming,CTP,122,89953966.90651895
16232,16232,Clarion,PBZ,207,152626812.70204446
16232,16232,Venango,PBZ,2,1474655.1951888353
16240,16240,Armstrong,PBZ,66,48663621.44123156
16240,16240,Clarion,PBZ,51,37603707.4773153
16240,16240,Jefferson,PBZ,66,48663621.44123156
16259,16259,Armstrong,PBZ,160,117972415.61510682
16262,16262,Armstrong,PBZ,117,86267328.91854686
16319,16319,Clarion,PBZ,31,22857155.525426947
16319,16319,Venango,PBZ,92,67834138.97868642
16364,16364,Clarion,PBZ,24,17695862.342266023
16364,16364,Venango,PBZ,90,66359483.78349759
16373,16373,Butler,PBZ,19,14009224.354293935
16373,16373,Clarion,PBZ,79,58248880.20995899
16373,16373,Venango,PBZ,181,133456295.16458958
16611,16611,Blair,CTP,1,737327.5975944176
16611,16611,Huntingdon,CTP,156,115023105.22472915
16726,16726,McKean,CTP,113,83318018.52816918
16865,16865,Huntingdon,CTP,13,9585258.76872743
16865,16865,Southern Centre,CTP,69,50875604.23401482
16922,16922,Potter,CTP,508,374562419.5779642
16922,16922,Tioga,CTP,1,737327.5975944176
17022,17022,Dauphin,CTP,51,37603707.4773153
17022,17022,Lancaster,CTP,136,100276553.2728408
17044,17044,Mifflin,CTP,338,249216727.98691314
17052,17052,Huntingdon,CTP,142,104700518.8584073
17086,17086,Juniata,CTP,44,32442414.294154376
17086,17086,Snyder,CTP,82,60460863.002742246
17110,17110,Cumberland,CTP,1,737327.5975944176
17110,17110,Dauphin,CTP,66,48663621.44123156
17215,17215,Fulton,CTP,9,6635948.378349759
17215,17215,Huntingdon,CTP,14,10322586.366321847
17222,17222,Adams,CTP,71,52350259.42920365
17222,17222,Franklin,CTP,158,116497760.41991799
17241,17241,Cumberland,CTP,400,294931039.03776705
17264,17264,Fulton,CTP,16,11797241.561510682
17264,17264,Huntingdon,CTP,186,137142933.15256166
17502,17502,Lancaster,CTP,55,40553017.86769297
17509,17509,Lancaster,CTP,91,67096811.381092004
17555,17555,Lancaster,CTP,112,82580690.93057477
17555,17555,Western Chester,PHI,2,1474655.1951888353
17744,17744,Southern Lycoming,CTP,78,57511552.612364575
17768,17768,Bradford,BGM,1,737327.5975944176
17768,17768,Sullivan,CTP,103,75944742.55222502
15241,15241,Allegheny,PBZ,33,24331810.72061578
15330,15330,Washington,PBZ,157,115760432.82232356
15419,15419,Washington,PBZ,4,2949310.3903776705
15536,15536,Bedford,CTP,1,737327.5975944176
15536,15536,Fulton,CTP,116,85530001.32095245
15540,15540,Somerset,CTP,157,115760432.82232356
15544,15544,Somerset,CTP,2,1474655.1951888353
15601,15601,Westmoreland,PBZ,289,213087675.7047867
15644,15644,Westmoreland,PBZ,78,57511552.612364575
15690,15690,Armstrong,PBZ,84,61935518.19793108
15690,15690,Westmoreland,PBZ,8,5898620.780755341
15736,15736,Armstrong,PBZ,6,4423965.585566506
15801,15801,Clearfield,CTP,241,177695951.02025464
15801,15801,Jefferson,PBZ,3,2211982.792783253
15846,15846,Elk,CTP,197,145253536.72610027
15857,15857,Elk,CTP,347,255852676.36526293
15926,15926,Somerset,CTP,119,87741984.1137357
15944,15944,Westmoreland Ridges,PBZ,149,109861812.04156822
15944,15944,Higher Elevations of Indiana,PBZ,80,58986207.80755341
15946,15946,Bedford,CTP,16,11797241.561510682
15946,15946,Blair,CTP,35,25806465.915804617
15946,15946,Cambria,CTP,123,90691294.50411338
16036,16036,Clarion,PBZ,9,6635948.378349759
16055,16055,Armstrong,PBZ,14,10322586.366321847
16055,16055,Butler,PBZ,118,87004656.51614128
16145,16145,Mercer,PBZ,169,124608363.99345657
16210,16210,Armstrong,PBZ,79,58248880.20995899
16258,16258,Clarion,PBZ,129,95115260.08967987
16313,16313,Forest,PBZ,1,737327.5975944176
16313,16313,Warren,CTP,396,291981728.6473894
16401,16401,Crawford,CLE,10,7373275.975944176
16401,16401,Southern Erie,CLE,185,136405605.55496725
16420,16420,Warren,CTP,171,126083019.18864542
17737,17737,Sullivan,CTP,4,2949310.3903776705
17737,17737,Southern Lycoming,CTP,182,134193622.76218401
17737,17737,Northern Lycoming,CTP,28,20645172.732643694
17747,17747,Southern Centre,CTP,1,737327.5975944176
17747,17747,Southern Clinton,CTP,292,215299658.49756995
17754,17754,Southern Lycoming,CTP,168,123871036.39586216
17754,17754,Northern Lycoming,CTP,46,33917069.48934321
17815,17815,Columbia,CTP,433,319262849.75838286
17815,17815,Luzerne,BGM,11,8110603.573538594
17815,17815,Montour,CTP,2,1474655.1951888353
17864,17864,Snyder,CTP,74,54562242.221986905
17870,17870,Snyder,CTP,159,117235088.01751241
17870,17870,Union,CTP,3,2211982.792783253
17922,17922,Schuylkill,CTP,111,81843363.33298036
17967,17967,Schuylkill,CTP,121,89216639.30892453
17981,17981,Schuylkill,CTP,135,99539225.67524639
17985,17985,Columbia,CTP,53,39078362.672504134
17985,17985,Schuylkill,CTP,74,54562242.221986905
18066,18066,Lehigh,PHI,151,111336467.23675707
18229,18229,Carbon,PHI,193,142304226.3357226
18302,18302,Monroe,PHI,217,160000088.67798862
18302,18302,Pike,BGM,3,2211982.792783253
18356,18356,Monroe,PHI,2,1474655.1951888353
18451,18451,Pike,BGM,17,12534569.1591051
18460,18460,Southern Wayne,BGM,3,2211982.792783253
18619,18619,Sullivan,CTP,68,50138276.6364204
18619,18619,Northern Lycoming,CTP,17,12534569.1591051
18632,18632,Sullivan,CTP,24,17695862.342266023
18821,18821,Susquehanna,BGM,13,9585258.76872743
18854,18854,Bradford,BGM,78,57511552.612364575
19027,19027,Eastern Montgomery,PHI,13,9585258.76872743
19152,19152,Philadelphia,PHI,11,8110603.573538594
19310,19310,Lancaster,CTP,3,2211982.792783253
19310,19310,Western Chester,PHI,50,36866379.87972088
19355,19355,Western Chester,PHI,31,22857155.525426947
19355,19355,Eastern Chester,PHI,103,75944742.55222502
17771,17771,Southern Lycoming,CTP,5,3686637.987972088
17771,17771,Northern Lycoming,CTP,757,558156991.3789742
17812,17812,Snyder,CTP,94,69308794.17387526
17846,17846,Columbia,CTP,155,114285777.62713474
17846,17846,Southern Lycoming,CTP,5,3686637.987972088
17866,17866,Northumberland,CTP,85,62672845.7955255
17885,17885,Union,CTP,45,33179741.891748793
17976,17976,Schuylkill,CTP,26,19170517.53745486
18018,18018,Lehigh,PHI,13,9585258.76872743
18018,18018,Northampton,PHI,8,5898620.780755341
18042,18042,Upper Bucks,PHI,1,737327.5975944176
18042,18042,Northampton,PHI,76,56036897.41717574
18072,18072,Monroe,PHI,1,737327.5975944176
18072,18072,Northampton,PHI,52,38341035.07490972
18250,18250,Schuylkill,CTP,12,8847931.171133012
18250,18250,Carbon,PHI,29,21382500.33023811
18254,18254,Carbon,PHI,6,4423965.585566506
18325,18325,Monroe,PHI,109,80368708.13779151
18325,18325,Pike,BGM,41,30230431.501371123
18334,18334,Monroe,PHI,87,64147500.990714334
18407,18407,Lackawanna,BGM,135,99539225.67524639
18407,18407,Susquehanna,BGM,10,7373275.975944176
18443,18443,Northern Wayne,BGM,44,32442414.294154376
18510,18510,Lackawanna,BGM,6,4423965.585566506
18621,18621,Luzerne,BGM,160,117972415.61510682
18830,18830,Bradford,BGM,3,2211982.792783253
18830,18830,Susquehanna,BGM,76,56036897.41717574
18913,18913,Lower Bucks,PHI,5,3686637.987972088
18947,18947,Upper Bucks,PHI,87,64147500.990714334
19020,19020,Philadelphia,PHI,1,737327.5975944176
19020,19020,Lower Bucks,PHI,64,47188966.24604273
19054,19054,Lower Bucks,PHI,15,11059913.963916264
19111,19111,Philadelphia,PHI,18,13271896.756699517
